FILE	number of missing data	percentage
cgMLST_120/cgMLST_v2.tsv:GCF_000014625.1_ASM1462v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000026645.1_ASM2664v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000226155.1_ASM22615v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000271365.1_ASM27136v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000271985.2_ASM27198v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000284555.1_ASM28455v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000359505.1_ASM35950v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000414035.1_ASM41403v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000496455.2_ASM49645v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000496605.2_ASM49660v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000504045.1_ASM50404v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000508765.1_ASM50876v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000510305.1_ASM51030v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000524595.1_ASM52459v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000816985.1_ASM81698v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000829255.1_ASM82925v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000829275.1_ASM82927v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000829885.1_ASM82988v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_000981825.1_ASM98182v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001045685.1_ASM104568v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001077475.1_ASM107747v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001293085.1_ASM129308v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001447845.1_ASM144784v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001457615.1_NCTC10332_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001482325.1_ASM148232v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001515845.2_ASM151584v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001515915.2_ASM151591v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516005.1_ASM151600v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516105.1_ASM151610v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516165.2_ASM151616v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516185.2_ASM151618v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516205.2_ASM151620v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516225.2_ASM151622v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516245.2_ASM151624v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516265.1_ASM151626v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516305.2_ASM151630v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516325.2_ASM151632v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516345.1_ASM151634v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001516385.1_ASM151638v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001518975.1_ASM151897v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001542795.2_ASM154279v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001542835.1_ASM154283v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001547955.1_ASM154795v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001548135.1_ASM154813v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001548335.1_ASM154833v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001594325.2_ASM159432v2_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001606045.1_ASM160604v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001618925.1_ASM161892v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001632245.1_ASM163224v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001679685.1_ASM167968v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001687285.1_ASM168728v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001721745.1_ASM172174v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001721765.1_ASM172176v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001721785.1_ASM172178v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001721805.1_ASM172180v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001721825.1_ASM172182v1_genomic.fna	0	0.0
cgMLST_120/cgMLST_v2.tsv:GCF_001721845.1_ASM172184v1_genomic.fna	0	0.0
